"correct","correct_response","position","response","response_time","stimuli","stimuli_category","trial"
"1","q","L","q","569.1317","100_s_12_0g_l_2.jpg","10","12"
"1","None","A","None","2000.0361","100_s_24_24g_a_4.jpg","13","75"
"1","p","R","p","542.7779","100_s_12_11g_r_2.jpg","11","27"
"1","None","A","None","2000.1367","100_s_6_6g_a_9.jpg","1","120"
"1","None","A","None","2000.0309","100_s_6_6g_a_5.jpg","1","116"
"1","None","A","None","2000.056","100_s_6_6g_a_4.jpg","1","115"
"1","None","A","None","2000.1657","100_s_12_12g_a_5.jpg","8","36"
"1","q","L","q","733.334099999","100_s_24_0g_l_5.jpg","16","55"
"1","None","A","None","2000.0271","100_s_6_6g_a_10.jpg","1","111"
"0","None","A","q","1180.3873","100_s_24_0g_a_5.jpg","14","46"
"1","None","A","None","2000.0247","100_s_6_6g_a_6.jpg","1","117"
"1","q","L","q","497.3682","100_s_6_5g_l_4.jpg","3","104"
"1","None","A","None","2000.029","100_s_12_0g_a_5.jpg","7","6"
"1","None","A","None","2000.031","100_s_6_0g_a_9.jpg","2","90"
"1","None","A","None","2000.0282","100_s_12_0g_a_3.jpg","7","4"
"1","q","L","q","815.287399999","100_s_6_0g_l_4.jpg","4","94"
"1","None","A","None","2000.0259","100_s_24_24g_a_10.jpg","13","71"
"1","None","A","None","2000.0471","100_s_6_0g_a_1.jpg","2","82"
"1","None","A","None","2000.0376","100_s_12_0g_a_8.jpg","7","9"
"1","p","R","p","1039.7982","100_s_24_0g_r_5.jpg","18","60"
"1","q","L","q","632.0576","100_s_24_23g_l_3.jpg","15","63"
"1","None","A","None","2000.022","100_s_24_0g_a_1.jpg","14","42"
"1","None","A","None","2000.0248","100_s_6_0g_a_8.jpg","2","89"
"1","p","R","p","549.0839","100_s_12_11g_r_4.jpg","11","29"
"1","p","R","p","592.982099999","100_s_6_0g_r_4.jpg","6","99"
"1","None","A","None","2000.0226","100_s_12_12g_a_10.jpg","8","31"
"1","p","R","p","566.1697","100_s_6_0g_r_5.jpg","6","100"
"1","p","R","p","649.576400001","100_s_6_5g_r_2.jpg","5","107"
"1","p","R","p","561.720700001","100_s_24_0g_r_2.jpg","18","57"
"1","None","A","None","2000.1741","100_s_12_0g_a_6.jpg","7","7"
"1","p","R","p","558.8145","100_s_6_5g_r_3.jpg","5","108"
"1","q","L","q","611.128600001","100_s_6_0g_l_2.jpg","4","92"
"1","None","A","None","2000.0226","100_s_12_12g_a_9.jpg","8","40"
"1","p","R","p","703.498999999","100_s_24_0g_r_1.jpg","18","56"
"1","q","L","q","613.796400001","100_s_6_5g_l_3.jpg","3","103"
"1","q","L","q","727.518000002","100_s_24_0g_l_2.jpg","16","52"
"1","None","A","None","2000.0272","100_s_6_0g_a_6.jpg","2","87"
"1","p","R","p","598.1498","100_s_24_23g_r_4.jpg","17","69"
"1","None","A","None","2000.0274","100_c_6_3g_a_13.jpg","19","214"
"1","None","A","None","2000.0244","100_c_24_12g_a_3.jpg","29","184"
"1","None","A","None","2000.0327","100_c_6_3g_a_6.jpg","19","227"
"1","q","L","q","1711.1308","100_c_6_2g_l_4.jpg","21","204"
"1","q","L","q","1565.1507","100_c_24_12g_l_3.jpg","30","193"
"1","None","A","None","2000.0242","100_c_12_6g_a_1.jpg","24","141"
"1","p","R","p","892.6304","100_c_24_12g_r_5.jpg","32","200"
"1","q","L","q","1051.0567","100_c_12_5g_l_5.jpg","26","125"
"1","q","L","q","755.851900001","100_c_6_2g_l_5.jpg","21","205"
"1","None","A","None","2000.0266","100_c_6_3g_a_16.jpg","19","217"
